# Program:featureCounts v2.0.1; Command:"featureCounts" "-Q" "10" "-t" "exon" "-g" "gene_id" "-T" "32" "-a" "data/GCF_000001405.40_GRCh38.p14_genomic.gtf" "-o" "8.features/features_count.txt" "7.samtools/SRR14689338_mixed.bam" "7.samtools/SRR14689339_mixed.bam" "7.samtools/SRR14689340_lymphoblastic.bam"  	  	  	  	  	  	 
Geneid 	 7.samtools/SRR14689338_mixed.bam 	 7.samtools/SRR14689339_mixed.bam 	 7.samtools/SRR14689340_lymphoblastic.bam 	  	  	 
DDX11L1 	 0 	 0 	 0 	  	  	 
WASH7P 	 27 	 22 	 28 	  	  	 
MIR6859-1 	 7 	 18 	 8 	  	  	 
MIR1302-2HG 	 0 	 0 	 0 	  	  	 
MIR1302-2 	 0 	 0 	 0 	  	  	 
FAM138A 	 0 	 0 	 0 	  	  	 
OR4F5 	 0 	 0 	 0 	  	  	 
LOC124903816 	 0 	 0 	 0 	  	  	 
LOC124900384 	 0 	 0 	 0 	  	  	 
LOC729737 	 166 	 324 	 39 	  	  	 
LOC124903814 	 0 	 0 	 0 	  	  	 
DDX11L17 	 0 	 0 	 0 	  	  	 
LOC100996442 	 0 	 0 	 0 	  	  	 
LOC124903815 	 0 	 1 	 0 	  	  	 
LOC124900618 	 0 	 0 	 0 	  	  	 
LOC112268260 	 0 	 0 	 0 	  	  	 
OR4F29 	 0 	 0 	 0 	  	  	 
LOC100132287 	 1 	 0 	 6 	  	  	 
LOC124904706 	 0 	 0 	 0 	  	  	 
LOC105378947 	 0 	 0 	 0 	  	  	 
LOC101928626 	 0 	 0 	 0 	  	  	 
MIR12136 	 1 	 3 	 3 	  	  	 
OR4F16 	 0 	 0 	 0 	  	  	 
LOC100288069 	 11 	 10 	 13 	  	  	 
LINC01409 	 26 	 30 	 41 	  	  	 
LOC124903817 	 26 	 38 	 36 	  	  	 
FAM87B 	 4 	 12 	 10 	  	  	 
LINC00115 	 43 	 32 	 35 	  	  	 
LINC01128 	 259 	 252 	 435 	  	  	 
LOC107984850 	 29 	 1 	 1 	  	  	 
FAM41C 	 2 	 0 	 0 	  	  	 
LOC284600 	 166 	 5 	 2 	  	  	 
LINC02593 	 9 	 1 	 0 	  	  	 
LOC107985728 	 25 	 4 	 1 	  	  	 
SAMD11 	 19 	 5 	 0 	  	  	 
NOC2L 	 708 	 567 	 655 	  	  	 
KLHL17 	 195 	 300 	 124 	  	  	 
PLEKHN1 	 4 	 10 	 6 	  	  	 
PERM1 	 0 	 0 	 0 	  	  	 
HES4 	 3 	 10 	 9 	  	  	 
ISG15 	 89 	 80 	 72 	  	  	 
AGRN 	 312 	 114 	 1242 	  	  	 
LOC100288175 	 0 	 2 	 1 	  	  	 
LOC105378948 	 4 	 8 	 2 	  	  	 
RNF223 	 1 	 1 	 0 	  	  	 
C1orf159 	 95 	 127 	 103 	  	  	 
LOC124903819 	 0 	 0 	 0 	  	  	 
LOC124903820 	 1 	 3 	 0 	  	  	 
LINC01342 	 1 	 0 	 0 	  	  	 
LOC124903818 	 0 	 1 	 1 	  	  	 
MIR200B 	 0 	 0 	 0 	  	  	 
MIR200A 	 0 	 0 	 0 	  	  	 
MIR429 	 0 	 0 	 0 	  	  	 
TTLL10-AS1 	 0 	 2 	 0 	  	  	 
TTLL10 	 1 	 2 	 0 	  	  	 
TNFRSF18 	 47 	 16 	 4 	  	  	 
TNFRSF4 	 21 	 21 	 9 	  	  	 
SDF4 	 775 	 884 	 998 	  	  	 
B3GALT6 	 283 	 381 	 454 	  	  	 
C1QTNF12 	 12 	 16 	 11 	  	  	 
UBE2J2 	 431 	 450 	 547 	  	  	 
SCNN1D 	 32 	 151 	 187 	  	  	 
ACAP3 	 924 	 835 	 1475 	  	  	 
MIR6726 	 0 	 0 	 0 	  	  	 
SNORD167 	 1 	 2 	 0 	  	  	 
PUSL1 	 106 	 84 	 138 	  	  	 
INTS11 	 482 	 622 	 735 	  	  	 
MIR6727 	 0 	 0 	 0 	  	  	 
CPTP 	 248 	 269 	 320 	  	  	 
TAS1R3 	 30 	 38 	 49 	  	  	 
DVL1 	 548 	 842 	 586 	  	  	 
MIR6808 	 0 	 0 	 0 	  	  	 
MXRA8 	 190 	 176 	 206 	  	  	 
AURKAIP1 	 346 	 335 	 336 	  	  	 
CCNL2 	 1283 	 2246 	 2191 	  	  	 
MRPL20-AS1 	 280 	 301 	 488 	  	  	 
MRPL20 	 224 	 257 	 242 	  	  	 
MRPL20-DT 	 42 	 35 	 115 	  	  	 
ANKRD65 	 1 	 1 	 3 	  	  	 
ANKRD65-AS1 	 1 	 1 	 0 	  	  	 
TMEM88B 	 6 	 3 	 9 	  	  	 
LINC01770 	 32 	 13 	 24 	  	  	 
LOC107985729 	 11 	 8 	 16 	  	  	 
VWA1 	 123 	 46 	 147 	  	  	 
ATAD3C 	 5 	 7 	 1 	  	  	 
ATAD3B 	 330 	 569 	 801 	  	  	 
ATAD3A 	 250 	 314 	 436 	  	  	 
TMEM240 	 1 	 1 	 10 	  	  	 
SSU72 	 593 	 649 	 656 	  	  	 
FNDC10 	 44 	 9 	 83 	  	  	 
LOC105378586 	 4 	 1 	 3 	  	  	 
MIB2 	 359 	 405 	 552 	  	  	 
LOC124903821 	 78 	 144 	 162 	  	  	 
MMP23B 	 0 	 0 	 0 	  	  	 
CDK11B 	 362 	 403 	 479 	  	  	 
SLC35E2B 	 1439 	 1804 	 2857 	  	  	 
MMP23A 	 0 	 0 	 0 	  	  	 
CDK11A 	 272 	 431 	 447 	  	  	 
SLC35E2A 	 905 	 1000 	 708 	  	  	 
LOC112268218 	 9 	 3 	 3 	  	  	 
NADK 	 1635 	 1863 	 1457 	  	  	 
GNB1 	 2620 	 2766 	 2824 	  	  	 
GNB1-DT 	 4 	 4 	 8 	  	  	 
LOC124903822 	 1 	 2 	 5 	  	  	 
CALML6 	 1 	 2 	 14 	  	  	 
TMEM52 	 1 	 5 	 0 	  	  	 
CFAP74 	 1 	 0 	 1 	  	  	 
LOC107984872 	 0 	 0 	 0 	  	  	 
LOC105378589 	 0 	 3 	 135 	  	  	 
GABRD 	 0 	 22 	 1552 	  	  	 
LOC105378590 	 0 	 0 	 0 	  	  	 
PRKCZ 	 65 	 62 	 11 	  	  	 
PRKCZ-DT 	 0 	 0 	 0 	  	  	 
PRKCZ-AS1 	 20 	 32 	 24 	  	  	 
FAAP20 	 164 	 199 	 286 	  	  	 
LOC112268219 	 45 	 94 	 107 	  	  	 
LOC105378593 	 1 	 2 	 1 	  	  	 
LOC124903823 	 0 	 0 	 0 	  	  	 
SKI 	 1562 	 2064 	 842 	  	  	 
LOC124903824 	 0 	 8 	 1 	  	  	 
MORN1 	 55 	 62 	 99 	  	  	 
LOC100129534 	 26 	 34 	 95 	  	  	 
RER1 	 487 	 605 	 683 	  	  	 
