Geneid 	 Lymph_1 	 Lymph_2 	 Myelo_1 	 Myelo_2
DDX11L1 	 0 	 0 	 0 	 0
WASH7P 	 28 	 27 	 27 	 36
MIR6859-1 	 8 	 10 	 9 	 10
MIR1302-2HG 	 0 	 0 	 0 	 0
MIR1302-2 	 0 	 0 	 0 	 0
FAM138A 	 0 	 0 	 0 	 0
OR4F5 	 0 	 0 	 0 	 0
LOC124903816 	 0 	 0 	 2 	 1
LOC124900384 	 0 	 0 	 0 	 0
LOC729737 	 39 	 128 	 161 	 109
LOC124903814 	 0 	 0 	 0 	 0
DDX11L17 	 0 	 0 	 0 	 0
LOC100996442 	 0 	 0 	 0 	 0
LOC124903815 	 0 	 0 	 13 	 3
LOC124900618 	 0 	 0 	 0 	 0
LOC112268260 	 0 	 0 	 0 	 0
OR4F29 	 0 	 0 	 0 	 0
LOC100132287 	 6 	 2 	 0 	 2
LOC124904706 	 0 	 0 	 0 	 0
LOC105378947 	 0 	 0 	 0 	 0
LOC101928626 	 0 	 0 	 0 	 0
MIR12136 	 3 	 2 	 2 	 3
OR4F16 	 0 	 0 	 0 	 0
LOC100288069 	 13 	 17 	 14 	 19
LINC01409 	 41 	 33 	 24 	 27
LOC124903817 	 36 	 46 	 38 	 36
FAM87B 	 10 	 21 	 10 	 17
LINC00115 	 35 	 40 	 21 	 38
LINC01128 	 435 	 483 	 189 	 191
LOC107984850 	 1 	 6 	 0 	 0
FAM41C 	 0 	 1 	 0 	 0
LOC284600 	 2 	 87 	 41 	 159
LINC02593 	 0 	 9 	 0 	 12
LOC107985728 	 1 	 44 	 0 	 23
SAMD11 	 0 	 17 	 0 	 45
NOC2L 	 655 	 714 	 461 	 747
KLHL17 	 124 	 130 	 128 	 191
PLEKHN1 	 6 	 4 	 7 	 9
PERM1 	 0 	 0 	 0 	 0
HES4 	 9 	 8 	 2 	 0
ISG15 	 72 	 57 	 460 	 79
AGRN 	 1242 	 1391 	 461 	 472
LOC100288175 	 1 	 2 	 1 	 0
LOC105378948 	 2 	 2 	 6 	 4
RNF223 	 0 	 0 	 0 	 0
C1orf159 	 103 	 117 	 81 	 86
LOC124903819 	 0 	 0 	 0 	 0
LOC124903820 	 0 	 1 	 1 	 8
LINC01342 	 0 	 1 	 0 	 0
LOC124903818 	 1 	 0 	 4 	 2
MIR200B 	 0 	 0 	 0 	 0
MIR200A 	 0 	 0 	 0 	 0
MIR429 	 0 	 0 	 0 	 0
TTLL10-AS1 	 0 	 0 	 2 	 3
TTLL10 	 0 	 1 	 1 	 7
TNFRSF18 	 4 	 3 	 21 	 7
TNFRSF4 	 9 	 1 	 10 	 3
SDF4 	 998 	 612 	 956 	 1085
B3GALT6 	 454 	 278 	 266 	 375
C1QTNF12 	 11 	 6 	 3 	 14
UBE2J2 	 547 	 351 	 396 	 464
SCNN1D 	 187 	 110 	 35 	 62
ACAP3 	 1475 	 556 	 933 	 1325
MIR6726 	 0 	 0 	 0 	 0
SNORD167 	 0 	 0 	 3 	 5
PUSL1 	 138 	 83 	 87 	 112
INTS11 	 735 	 548 	 477 	 610
MIR6727 	 0 	 0 	 0 	 0
CPTP 	 320 	 171 	 281 	 241
TAS1R3 	 49 	 37 	 25 	 30
DVL1 	 586 	 504 	 366 	 572
MIR6808 	 0 	 0 	 0 	 0
MXRA8 	 206 	 398 	 57 	 210
AURKAIP1 	 336 	 248 	 249 	 307
CCNL2 	 2191 	 1509 	 2058 	 2116
MRPL20-AS1 	 488 	 220 	 333 	 383
MRPL20 	 242 	 206 	 176 	 249
MRPL20-DT 	 115 	 28 	 19 	 35
ANKRD65 	 3 	 5 	 0 	 1
ANKRD65-AS1 	 0 	 1 	 0 	 0
TMEM88B 	 9 	 7 	 1 	 1
LINC01770 	 24 	 42 	 0 	 0
LOC107985729 	 16 	 42 	 0 	 0
VWA1 	 147 	 83 	 10 	 12
ATAD3C 	 1 	 0 	 1 	 0
ATAD3B 	 801 	 441 	 239 	 414
ATAD3A 	 436 	 281 	 184 	 303
TMEM240 	 10 	 7 	 0 	 2
SSU72 	 656 	 474 	 627 	 700
FNDC10 	 83 	 46 	 25 	 85
LOC105378586 	 3 	 1 	 3 	 6
MIB2 	 552 	 476 	 264 	 394
LOC124903821 	 162 	 97 	 63 	 90
MMP23B 	 0 	 0 	 0 	 1
CDK11B 	 479 	 464 	 426 	 379
SLC35E2B 	 2857 	 2729 	 1164 	 2029
MMP23A 	 0 	 0 	 0 	 1
CDK11A 	 447 	 340 	 295 	 369
SLC35E2A 	 708 	 585 	 422 	 650
LOC112268218 	 3 	 28 	 1 	 2
NADK 	 1457 	 928 	 3181 	 2208
GNB1 	 2824 	 2890 	 2693 	 2792
GNB1-DT 	 8 	 9 	 1 	 3
LOC124903822 	 5 	 4 	 2 	 3
CALML6 	 14 	 0 	 2 	 2
TMEM52 	 0 	 2 	 0 	 1
CFAP74 	 1 	 0 	 0 	 0
LOC107984872 	 0 	 1 	 0 	 0
LOC105378589 	 135 	 1 	 0 	 0
GABRD 	 1552 	 1 	 0 	 2
LOC105378590 	 0 	 0 	 0 	 0
PRKCZ 	 11 	 5 	 67 	 16
PRKCZ-DT 	 0 	 0 	 0 	 0
PRKCZ-AS1 	 24 	 11 	 21 	 13
FAAP20 	 286 	 221 	 118 	 178
LOC112268219 	 107 	 76 	 59 	 55
LOC105378593 	 1 	 22 	 4 	 7
LOC124903823 	 0 	 2 	 0 	 0
SKI 	 842 	 1852 	 1192 	 1652
LOC124903824 	 1 	 13 	 2 	 2
MORN1 	 99 	 108 	 55 	 76
LOC100129534 	 95 	 52 	 28 	 26
RER1 	 683 	 474 	 603 	 588
