"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"POU4F1 ",1488.3181711317,-8.63126299206034,0.584137409404866,-14.776083252148,2.08970168113071e-49,3.59616762305783e-45,8.63126299206034
"CD300E ",1487.78858019801,7.97655612055273,0.547060963019662,14.5807444869102,3.72432931798306e-48,3.20459916165853e-44,7.97655612055273
"P2RY2 ",705.235028044231,5.87854186555824,0.445909308268004,13.1832678900371,1.09541076670494e-39,6.28364129474179e-36,5.87854186555824
"VWA2 ",2507.52483007517,-7.43798722035464,0.599364109197546,-12.4097974940691,2.31236891525883e-35,9.94838916567232e-32,7.43798722035464
"CCN2 ",1350.98133183303,-4.2378366390286,0.355975164533013,-11.9048660166729,1.11642478152897e-32,3.84251081306642e-29,4.2378366390286
"TFEC ",1377.86118894258,6.09515362529625,0.523336638336347,11.6467168143861,2.38470392194671e-31,6.83972829879683e-28,6.09515362529625
"NFAM1 ",1451.01177474543,4.40049574814842,0.379066342937188,11.6087746383687,3.71906930426287e-31,9.14306623672282e-28,4.40049574814842
"GATA2 ",578.849492641973,4.90796350225864,0.42921541650735,11.434732569012,2.80399315416262e-30,6.03173977374806e-27,4.90796350225864
"AASS ",416.726707808672,-7.37507167778077,0.654023899550609,-11.27645592592,1.7151746993886e-29,3.27960460019759e-26,7.37507167778077
"PTAFR ",1207.90328384912,4.3493852231589,0.387760652449865,11.2166750176419,3.37730963005738e-29,5.81201214236575e-26,4.3493852231589
"FHIT ",793.430010858729,-4.65243235283184,0.441991625772803,-10.5260644807405,6.5516669592223e-26,1.02497851546597e-22,4.65243235283184
"MCAM ",1060.06581982231,-7.26793584828274,0.705733316811115,-10.2984168029975,7.16304505778142e-25,9.48221864610465e-22,7.26793584828274
"SIRPB2 ",655.25204549368,5.2045865092644,0.511056252531722,10.1839797155037,2.33799494085402e-24,2.87389678122549e-21,5.2045865092644
"TNFSF13B ",640.683997543439,4.80236668105626,0.472010745350882,10.174274057016,2.58318915022231e-24,2.96360680574505e-21,4.80236668105626
"VCAN ",5189.96599836399,4.45766324991156,0.443760350365279,10.0452040076187,9.64479026066874e-24,1.03735747247405e-20,4.45766324991156
"CLEC7A ",567.484410096047,4.67657951676921,0.468119760492428,9.99013481475293,1.68352621003266e-23,1.70422367932071e-20,4.67657951676921
"RASAL2 ",918.60043587965,-8.06355589267388,0.819107885005052,-9.8443148213915,7.25317485456419e-23,6.93443811512196e-20,8.06355589267388
"MAGI3 ",303.29159498963,-4.79713149727847,0.487895764449658,-9.83228764588598,8.17405160651209e-23,7.40353968928771e-20,4.79713149727847
"GLI3 ",320.184929558421,-7.00337493228015,0.714929477524971,-9.79589617220047,1.1725298504025e-22,1.00890330977883e-19,7.00337493228015
"RASGRP4 ",815.510571269158,4.35479136682689,0.445509120168813,9.77486468779082,1.44350086580307e-22,1.18291459045739e-19,4.35479136682689
"IL5RA ",199.128204435065,5.73497400129816,0.598650505069989,9.57983657030018,9.71986170688549e-22,7.60314091426329e-19,5.73497400129816
"LOC107984993 ",412.305100356946,-4.35277660191624,0.46034514077791,-9.45546333900851,3.21594488436576e-21,2.40622589195871e-18,4.35277660191624
"MEFV ",492.22221816075,4.49932017272985,0.480722649612509,9.35949278935904,8.01203789665219e-21,5.74496500681198e-18,4.49932017272985
"CHRNB4 ",288.056838092063,-7.13834736156617,0.770370852428494,-9.26611818069629,1.93043865325477e-20,1.27772764553313e-17,7.13834736156617
"RAB17 ",299.809260832909,-6.17344039206293,0.675281542469546,-9.14202447987292,6.12939590108732e-20,3.90669533562265e-17,6.17344039206293
"SLCO3A1 ",406.087956312411,4.12754033724537,0.454657476532409,9.07835139702393,1.10231774839842e-19,6.77492361863873e-17,4.12754033724537
"TES ",556.327708306199,4.54115487558286,0.500725029927877,9.06915892787896,1.19939236880624e-19,7.11735974992638e-17,4.54115487558286
"ITGAX ",2106.22131354534,4.23638793297529,0.470072242040112,9.01220611238258,2.01952339384233e-19,1.15846593615442e-16,4.23638793297529
"BMP2 ",521.266403719209,-5.91843246623918,0.659432081243911,-8.97504479168655,2.83236523906101e-19,1.57232817416132e-16,5.91843246623918
"CLEC12A ",1231.3062940594,5.42038659645836,0.606974166862292,8.93017675608609,4.25328670827842e-19,2.28733784258636e-16,5.42038659645836
"DBNDD1 ",265.253635152183,-5.12256011714356,0.578290939802694,-8.8581019769933,8.13882488922727e-19,4.24427386420339e-16,5.12256011714356
"FGL2 ",2557.18720375316,4.10376578151063,0.468737398070631,8.75493570259624,2.042198750828e-18,1.01178075896431e-15,4.10376578151063
"TLR8 ",839.23391078702,6.05586057381928,0.691775909291007,8.75407844142168,2.0577794505056e-18,1.01178075896431e-15,6.05586057381928
"KHDRBS3 ",218.315357087947,-6.96612041477838,0.796099195118248,-8.75031711813711,2.12754028423089e-18,1.01702335420359e-15,6.96612041477838
"NEO1 ",223.827263702588,-4.3368885563885,0.496111323398525,-8.74176490606864,2.29496665125185e-18,1.06740759733495e-15,4.3368885563885
"TMEM150C ",230.325228209047,-5.07608199190474,0.5985026467254,-8.48130249661821,2.22686819577197e-17,9.58054369525998e-15,5.07608199190474
"SLC16A2 ",631.414225509897,-12.7325979979566,1.5188338714627,-8.38314066942331,5.15338265788516e-17,2.16303810145234e-14,12.7325979979566
"ARHGEF10L ",469.436115348541,6.15557121634221,0.743961358223323,8.27404696265748,1.2948712242906e-16,5.30558069019452e-14,6.15557121634221
"MSRB3 ",580.490392801456,4.61369692196194,0.562715132166555,8.19899209782821,2.42410859792138e-16,9.48101928673388e-14,4.61369692196194
"RGS18 ",618.179477156809,4.27871384922299,0.525689076785848,8.13924815669324,3.97740008302277e-16,1.4563208091221e-13,4.27871384922299
"HTATSF1P2 ",191.025165714799,4.79048759250873,0.59478692950122,8.05412384654444,8.00501345063404e-16,2.86996409316586e-13,4.79048759250873
"RAB44 ",883.357960741634,5.08576233801423,0.632062627248836,8.04629496945723,8.53381668713474e-16,2.99711125242657e-13,5.08576233801423
"SIRPB1 ",1743.74867327755,5.02135393192927,0.62473251995807,8.03760612984624,9.1610543381441e-16,3.15305168210244e-13,5.02135393192927
"GAPT ",579.092401152558,4.70260792836313,0.585529192746381,8.03138082032408,9.63816727106913e-16,3.25222001113389e-13,4.70260792836313
"C5AR2 ",256.00256890217,4.31982982841333,0.541305834078653,7.98038660670641,1.45875658574328e-15,4.73655511019925e-13,4.31982982841333
"MS4A2 ",284.001579987672,5.74577252373879,0.723389645594767,7.94284595961371,1.97594274581055e-15,6.18254522048249e-13,5.74577252373879
"KCNH3 ",116.339021861064,5.26907856694208,0.667717657492522,7.89117751764875,2.9934848813275e-15,9.19363515595651e-13,5.26907856694208
"ADGRE3 ",291.815998867192,4.91186278455703,0.622618358614145,7.88904264803579,3.04513454523517e-15,9.19363515595651e-13,4.91186278455703
"HEY2 ",148.302014040968,-6.60158536980476,0.837180261019965,-7.88550050351381,3.13277326677284e-15,9.29515433584376e-13,6.60158536980476
